Data,Taxa de câmbio - R$ / US$ - comercial - compra - média - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERC12,
1958.04,4.03151636363636E-14,
1958.05,4.64246181818182E-14,
1958.06,4.65575636363636E-14,
1958.07,4.78744727272727E-14,
1958.08,4.94287272727273E-14,
1958.09,5.62242545454546E-14,
1958.10,5.22791636363636E-14,
1958.11,5.05018181818182E-14,
1958.12,4.91706909090909E-14,
1959.01,5.16327272727273E-14,
1959.02,5.05781818181818E-14,
1959.03,4.97672727272727E-14,
1959.04,4.86545454545455E-14,
1959.05,4.76763636363636E-14,
1959.06,4.89854545454546E-14,
1959.07,5.31490909090909E-14,
1959.08,5.45454545454545E-14,
1959.09,5.45454545454545E-14,
1959.10,5.74763636363636E-14,
1959.11,6.30290909090909E-14,
1959.12,6.54545454545455E-14,
1960.01,6.70036363636364E-14,
1960.02,6.62727272727273E-14,
1960.03,6.61818181818182E-14,
1960.04,6.61818181818182E-14,
1960.05,6.61818181818182E-14,
1960.06,6.61818181818182E-14,
1960.07,6.61818181818182E-14,
1960.08,6.61818181818182E-14,
1960.09,6.61818181818182E-14,
1960.10,6.61818181818182E-14,
1960.11,6.61818181818182E-14,
1960.12,6.66510181818182E-14,
1961.01,7.33018181818182E-14,
1961.02,7.81818181818182E-14,
1961.03,8.76254545454545E-14,
1961.04,1.00229090909091E-13,
1961.05,9.56836363636364E-14,
1961.06,9.28836363636364E-14,
1961.07,9.30909090909091E-14,
1961.08,9.56581818181818E-14,
1961.09,1.03734545454545E-13,
1961.10,1.07447272727273E-13,
1961.11,1.09090909090909E-13,
1961.12,1.09090909090909E-13,
1962.01,1.12727272727273E-13,
1962.02,1.12727272727273E-13,
1962.03,1.12727272727273E-13,
1962.04,1.12727272727273E-13,
1962.05,1.18181818181818E-13,
1962.06,1.27272727272727E-13,
1962.07,1.29818181818182E-13,
1962.08,1.38545454545455E-13,
1962.09,1.63490909090909E-13,
1962.10,1.67272727272727E-13,
1962.11,1.67272727272727E-13,
1962.12,1.67272727272727E-13,
1963.01,1.67272727272727E-13,
1963.02,1.67272727272727E-13,
1963.03,1.67272727272727E-13,
1963.04,1.81818181818182E-13,
1963.05,2.18181818181818E-13,
1963.06,2.18181818181818E-13,
1963.07,2.18181818181818E-13,
1963.08,2.18181818181818E-13,
1963.09,2.18181818181818E-13,
1963.10,2.18181818181818E-13,
1963.11,2.18181818181818E-13,
1963.12,2.18181818181818E-13,
1964.01,2.18181818181818E-13,
1964.02,4.14181818181818E-13,
1964.03,4.14181818181818E-13,
1964.04,4.21818181818182E-13,
1964.05,4.21818181818182E-13,
1964.06,4.21818181818182E-13,
1964.07,4.21818181818182E-13,
1964.08,4.34181818181818E-13,
1964.09,5.57454545454545E-13,
1964.10,5.63636363636364E-13,
1964.11,5.63636363636364E-13,
1964.12,5.82545454545455E-13,
1965.01,6.63636363636364E-13,
1965.02,6.63636363636364E-13,
1965.03,6.63636363636364E-13,
1965.04,6.63636363636364E-13,
1965.05,6.63636363636364E-13,
1965.06,6.63636363636364E-13,
1965.07,6.63636363636364E-13,
1965.08,6.63636363636364E-13,
1965.09,6.63636363636364E-13,
1965.10,6.63636363636364E-13,
1965.11,7.42545454545455E-13,
1965.12,8E-13,
1966.01,8E-13,
1966.02,8E-13,
1966.03,8E-13,
1966.04,8E-13,
1966.05,8E-13,
1966.06,8E-13,
1966.07,8E-13,
1966.08,8E-13,
1966.09,8E-13,
1966.10,8E-13,
1966.11,8E-13,
1966.12,8E-13,
1967.01,8E-13,
1967.02,9.81818181818182E-13,
1967.03,9.81818181818182E-13,
1967.04,9.81818181818182E-13,
1967.05,9.81818181818182E-13,
1967.06,9.81818181818182E-13,
1967.07,9.81818181818182E-13,
1967.08,9.81818181818182E-13,
1967.09,9.81818181818182E-13,
1967.10,9.81818181818182E-13,
1967.11,9.81818181818182E-13,
1967.12,9.81818181818182E-13,
1968.01,1.16363636363636E-12,
1968.02,1.16363636363636E-12,
1968.03,1.16363636363636E-12,
1968.04,1.16363636363636E-12,
1968.05,1.16363636363636E-12,
1968.06,1.16363636363636E-12,
1968.07,1.16363636363636E-12,
1968.08,1.19272727272727E-12,
1968.09,1.32363636363636E-12,
1968.10,1.33818181818182E-12,
1968.11,1.34909090909091E-12,
1968.12,1.37818181818182E-12,
1969.01,1.38545454545455E-12,
1969.02,1.41090909090909E-12,
1969.03,1.43272727272727E-12,
1969.04,1.44727272727273E-12,
1969.05,1.45454545454545E-12,
1969.06,1.46545454545455E-12,
1969.07,1.48E-12,
1969.08,1.48363636363636E-12,
1969.09,1.50181818181818E-12,
1969.10,1.52E-12,
1969.11,1.53818181818182E-12,
1969.12,1.56E-12,
1970.01,1.57454545454545E-12,
1970.02,1.58909090909091E-12,
1970.03,1.59636363636364E-12,
1970.04,1.62181818181818E-12,
1970.05,1.63272727272727E-12,
1970.06,1.64727272727273E-12,
1970.07,1.66545454545455E-12,
1970.08,1.68E-12,
1970.09,1.69090909090909E-12,
