Data;Meio de pagamento ampliado - M3 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M3NCN12;
2006.01;1182375,081;
2006.02;1204760,611;
2006.03;1217947,577;
2006.04;1225507,675;
2006.05;1245562,99;
2006.06;1251909,775;
2006.07;1263276,121;
2006.08;1274572,866;
2006.09;1292498,222;
2006.10;1309590,91;
2006.11;1340098,738;
2006.12;1365957,852;
2007.01;1381091,644;
2007.02;1395941,954;
2007.03;1403437,444;
2007.04;1432743,929;
2007.05;1448292,815;
2007.06;1468643,962;
2007.07;1451583,471;
2007.08;1461790,549;
2007.09;1498606,015;
2007.10;1522132,734;
2007.11;1569704,721;
2007.12;1600005,607;
2008.01;1601688,95;
2008.02;1618982,555;
2008.03;1636587,622;
2008.04;1675853,648;
2008.05;1706968,916;
2008.06;1721026,84;
2008.07;1764903,833;
2008.08;1801310,76;
2008.09;1825938,71;
2008.10;1833678,89;
2008.11;1868278,256;
2008.12;1894808,837;
2009.01;1896403,733;
2009.02;1911377,234;
2009.03;1922395,33;
2009.04;1950835,852;
2009.05;1981875,506;
2009.06;1997955,514;
2009.07;2035540,975;
2009.08;2069824,769;
2009.09;2108364,057;
2009.10;2129862,633;
2009.11;2158865,053;
2009.12;2196530,424;
2010.01;2322483,632;
2010.02;2331431,779;
2010.03;2363486,147;
2010.04;2371436,991;
2010.05;2402387,178;
2010.06;2429332,137;
2010.07;2470349,066;
2010.08;2519676,85;
2010.09;2567999,14;
2010.10;2620660,155;
2010.11;2643539,508;
2010.12;2681421,355;
2011.01;2692091,783;
2011.02;2746372,688;
2011.03;2774165,612;
2011.04;2802614,21;
2011.05;2837176,945;
2011.06;2859691,238;
2011.07;2917116,204;
2011.08;2973056,786;
2011.09;3009561,825;
2011.10;3033171,871;
2011.11;3058534,253;
2011.12;3126468,029;
2012.01;3183704,028;
2012.02;3215823,078;
2012.03;3280594,773;
2012.04;3311417,702;
2012.05;3358168,535;
2012.06;3378112,765;
2012.07;3428574,172;
2012.08;3486156,088;
2012.09;3509444,353;
2012.10;3560256,027;
2012.11;3595180,344;
2012.12;3609680,508;
2013.01;3641468,977;
2013.02;3656344,131;
2013.03;3690666,043;
2013.04;3718643,709;
2013.05;3763267,815;
2013.06;3781611,175;
2013.07;3814726,306;
2013.08;3834189,886;
2013.09;3856984,371;
2013.10;3885993,526;
2013.11;3897745,977;
2013.12;3947967,099;
2014.01;3956852,345;
2014.02;3973241,537;
2014.03;3987162,587;
2014.04;4024128,054;
2014.05;4071238,1;
2014.06;4101325,335;
2014.07;4169700,24;
2014.08;4271481,439;
2014.09;4306043,943;
2014.10;4349931,096;
2014.11;4390074,19;
2014.12;4438289,475;
2015.01;4446980,401;
2015.02;4446708,674;
2015.03;4475838,274;
2015.04;4493113,529;
2015.05;4554350,444;
2015.06;4563586,143;
2015.07;4597352,502;
2015.08;4591457,079;
2015.09;4636253,676;
2015.10;4677523,145;
2015.11;4716993,314;
2015.12;4854978,073;
2016.01;4829018,658;
2016.02;4884235,641;
2016.03;4953973,835;
2016.04;4975614,007;
2016.05;5008017,964;
2016.06;5042395,159;
2016.07;5093742,194;
2016.08;5158943,154;
2016.09;5205671,446;
2016.10;5228485,955;
2016.11;5264955,221;
2016.12;5370570,893;
2017.01;5403067,549;
2017.02;5428196,722;
2017.03;5507791,836;
2017.04;5474967,657;
2017.05;5495565,318;
2017.06;5518949,598;
2017.07;5543482,574;
2017.08;5626754,248;
2017.09;5677639,428;
2017.10;5708275,173;
2017.11;5713739,945;
2017.12;5770354,874;
2018.01;5774734,69;
2018.02;5800302,433;
2018.03;5858214,642;
2018.04;5862418,608;
2018.05;5875957,544;
2018.06;5937930,939;
2018.07;5952652,635;
2018.08;6051069,562;
2018.09;6107351,558;
2018.10;6137916,038;
2018.11;6150787,765;
2018.12;6327699,486;
2019.01;6247917,656;
2019.02;6261466,804;
2019.03;6316011,118;
2019.04;6329039,326;
2019.05;6413435,285;
2019.06;6462185,63;
2019.07;6514185,14;
2019.08;6552984,089;
2019.09;6646055,953;
2019.10;6666132,06;
2019.11;6705196,896;
2019.12;6813474,032;
2020.01;6750429,15;
2020.02;6787939,129;
2020.03;6874426,696;
2020.04;7041664,378;
2020.05;7210605,349;
2020.06;7400929,374;
2020.07;7560493,317;
2020.08;7689525,475;
2020.09;7752745,912;
2020.10;7792807,281;
2020.11;7835982,778;
2020.12;8035557,724;
2021.01;7988869,455;
2021.02;8004776,613;
2021.03;8062170,326;
2021.04;8132092,713;
2021.05;8217877,065;
2021.06;8345682,829;
2021.07;8447830,94;
2021.08;8531334,851;
2021.09;8583398,277;
2021.10;8561880,135;
2021.11;8691065,342;
2021.12;8814965,194;
2022.01;8711765,8;
2022.02;8734415,003;
2022.03;9031763,011;
2022.04;9092619,604;
2022.05;9186556,753;
2022.06;9257217,628;
2022.07;9236804,12;
2022.08;9502994,255;
2022.09;9595062,884;
2022.10;9513988,858;
2022.11;9618776,99;
2022.12;9687094,657;
2023.01;9649836,121;
2023.02;9732516,87;
2023.03;9926239,857;
2023.04;10004442,349;
2023.05;10033043,466;
2023.06;10228434,344;
2023.07;10337936,158;
2023.08;10480749,668;
2023.09;10561766,859;
2023.10;10592400,218;
2023.11;10715736,212;
2023.12;10848434,217;
2024.01;10887771,858;
2024.02;11017204,402;
2024.03;11207947,801;
