Data;Meio de pagamento restrito - M1 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M1N12;
1961.06;2,68727272727273E-10;
1961.07;2,76363636363636E-10;
1961.08;2,91272727272727E-10;
1961.09;2,98181818181818E-10;
1961.10;3,15636363636364E-10;
1961.11;3,28727272727273E-10;
1961.12;3,61454545454546E-10;
1962.01;3,63636363636364E-10;
1962.02;3,72363272727273E-10;
1962.03;3,73818181818182E-10;
1962.04;3,86181454545454E-10;
1962.05;3,96727272727273E-10;
1962.06;4,13818181818182E-10;
1962.07;4,32363272727273E-10;
1962.08;4,57454181818182E-10;
1962.09;4,79272727272727E-10;
1962.10;5,02908727272727E-10;
1962.11;5,23636363636364E-10;
1962.12;5,93090909090909E-10;
1963.01;5,89454181818182E-10;
1963.02;5,95636363636364E-10;
1963.03;5,95636363636364E-10;
1963.04;5,96727272727273E-10;
1963.05;6,22908727272727E-10;
1963.06;6,56E-10;
1963.07;6,72726909090909E-10;
1963.08;7,13454545454545E-10;
1963.09;7,54908727272727E-10;
1963.10;7,90181454545454E-10;
1963.11;8,43999636363636E-10;
1963.12;9,76363272727273E-10;
1964.01;9,72726909090909E-10;
1964.02;1,05854509090909E-09;
1964.03;1,05854509090909E-09;
1964.04;1,08181781818182E-09;
1964.05;1,14836363636364E-09;
1964.06;1,25818145454545E-09;
1964.07;1,28581781818182E-09;
1964.08;1,36981781818182E-09;
1964.09;1,44254509090909E-09;
1964.10;1,53236363636364E-09;
1964.11;1,61272690909091E-09;
1964.12;1,77272727272727E-09;
1965.01;1,77672727272727E-09;
1965.02;1,86799963636364E-09;
1965.03;1,92545418181818E-09;
1965.04;2,016E-09;
1965.05;2,11709090909091E-09;
1965.06;2,29672727272727E-09;
1965.07;2,40109090909091E-09;
1965.08;2,548E-09;
1965.09;2,68E-09;
1965.10;2,81527272727273E-09;
1965.11;2,88254509090909E-09;
1965.12;3,18181818181818E-09;
1966.01;3,05309090909091E-09;
1966.02;3,02690872727273E-09;
1966.03;3,02690872727273E-09;
1966.04;3,04327236363636E-09;
1966.05;3,09854545454545E-09;
1966.06;3,21709054545455E-09;
1966.07;3,17818181818182E-09;
1966.08;3,25927236363636E-09;
1966.09;3,29890909090909E-09;
1966.10;3,34072690909091E-09;
1966.11;3,383636E-09;
1966.12;3,62145454545454E-09;
1967.01;3,57381781818182E-09;
1967.02;3,77709090909091E-09;
1967.03;3,77709090909091E-09;
1967.04;3,98581818181818E-09;
1967.05;4,184E-09;
1967.06;4,40036363636364E-09;
1967.07;4,48981818181818E-09;
1967.08;4,66545454545455E-09;
1967.09;4,79090909090909E-09;
1967.10;4,88145454545454E-09;
1967.11;5,10763636363636E-09;
1967.12;5,27745454545455E-09;
1968.01;5,19054545454545E-09;
1968.02;5,67890909090909E-09;
1968.03;5,67890909090909E-09;
1968.04;5,93890545454546E-09;
1968.05;6,02145090909091E-09;
1968.06;6,16036E-09;
1968.07;6,16363636363636E-09;
1968.08;6,37236E-09;
1968.09;6,62326909090909E-09;
1968.10;6,76327272727273E-09;
1968.11;6,97308727272727E-09;
1968.12;7,336E-09;
1969.01;7,27745090909091E-09;
1969.02;7,37381818181818E-09;
1969.03;7,69272727272727E-09;
1969.04;7,78545090909091E-09;
1969.05;7,89018181818182E-09;
1969.06;8,17199636363636E-09;
1969.07;8,07999636363636E-09;
1969.08;8,31454181818182E-09;
1969.09;8,57672727272727E-09;
1969.10;8,67454545454545E-09;
1969.11;9,05017818181818E-09;
1969.12;9,72181454545454E-09;
1970.01;9,82436363636364E-09;
1970.02;9,92363272727273E-09;
1970.03;1,02025490909091E-08;
1970.04;1,04374545454545E-08;
1970.05;1,08083672727273E-08;
1970.06;1,12432763636364E-08;
1970.07;1,12330945454545E-08;
1970.08;1,13665454545455E-08;
1970.09;9,732E-09;
1970.10;1,16541818181818E-08;
1970.11;1,21225490909091E-08;
1970.12;1,28927272727273E-08;
1971.01;1,25414545454545E-08;
1971.02;1,26490909090909E-08;
1971.03;1,27476363636364E-08;
1971.04;1,31130909090909E-08;
1971.05;1,35138145454545E-08;
1971.06;1,4396E-08;
1971.07;1,45665454545455E-08;
1971.08;1,47854545454545E-08;
1971.09;1,53803672727273E-08;
1971.10;1,5952E-08;
1971.11;1,65527272727273E-08;
1971.12;1,68323636363636E-08;
1972.01;1,61592727272727E-08;
1972.02;1,64261818181818E-08;
1972.03;1,71825454545455E-08;
1972.04;1,7416E-08;
1972.05;1,7768E-08;
1972.06;1,88552763636364E-08;
1972.07;1,86872727272727E-08;
1972.08;1,88570872727273E-08;
1972.09;1,97956363636364E-08;
1972.10;2,04614545454545E-08;
1972.11;2,11098181818182E-08;
1972.12;2,32185454545455E-08;
1973.01;2,20665454545455E-08;
1973.02;2,2856E-08;
1973.03;2,3624E-08;
1973.04;2,49494509090909E-08;
1973.05;2,59014545454545E-08;
1973.06;2,79083636363636E-08;
1973.07;2,78850945454545E-08;
1973.08;2,85978181818182E-08;
1973.09;3,01858181818182E-08;
1973.10;3,10949090909091E-08;
1973.11;3,22290909090909E-08;
1973.12;3,41410909090909E-08;
1974.01;3,277236E-08;
1974.02;3,42887309090909E-08;
1974.03;3,54745418181818E-08;
1974.04;3,59363636363636E-08;
1974.05;3,65672727272727E-08;
1974.06;3,82123636363636E-08;
1974.07;3,73469090909091E-08;
1974.08;3,92334545454545E-08;
1974.09;3,92934545454546E-08;
1974.10;4,02523636363636E-08;
1974.11;4,30276363636364E-08;
1974.12;4,558E-08;
1975.01;4,23334545454546E-08;
1975.02;4,24698181818182E-08;
1975.03;4,40869090909091E-08;
1975.04;4,506E-08;
1975.05;4,72316363636364E-08;
1975.06;5,03792727272727E-08;
1975.07;5,008E-08;
1975.08;5,34090909090909E-08;
1975.09;5,46149090909091E-08;
1975.10;5,53305454545454E-08;
1975.11;5,99563636363636E-08;
1975.12;6,54261818181818E-08;
1976.01;6,16821818181818E-08;
1976.02;6,28007272727273E-08;
1976.03;6,36956363636364E-08;
1976.04;6,56803636363636E-08;
1976.05;6,81698181818182E-08;
1976.06;7,43487272727273E-08;
1976.07;7,36149090909091E-08;
1976.08;7,37029090909091E-08;
1976.09;7,5672E-08;
1976.10;7,90581818181818E-08;
1976.11;8,22403636363636E-08;
1976.12;9,04385454545454E-08;
1977.01;8,32112727272727E-08;
1977.02;8,4592E-08;
1977.03;8,70778181818182E-08;
1977.04;9,29916363636364E-08;
1977.05;9,43759636363636E-08;
1977.06;1,00342145454545E-07;
1977.07;1,00883272727273E-07;
1977.08;1,02848E-07;
1977.09;1,07129454545455E-07;
1977.10;1,10710145454545E-07;
1977.11;1,13468036363636E-07;
1977.12;1,24808327272727E-07;
1978.01;1,16789418181818E-07;
1978.02;1,19385127272727E-07;
1978.03;1,232396E-07;
1978.04;1,288924E-07;
1978.05;1,30390545454545E-07;
1978.06;1,38760727272727E-07;
1978.07;1,39589490909091E-07;
1978.08;1,43985781818182E-07;
1978.09;1,50942218181818E-07;
1978.10;1,547436E-07;
1978.11;1,60868E-07;
1978.12;1,76221418181818E-07;
1979.01;1,66605127272727E-07;
1979.02;1,77437418181818E-07;
1979.03;1,77058509090909E-07;
1979.04;1,81529818181818E-07;
1979.05;1,87749127272727E-07;
1979.06;2,05438581818182E-07;
1979.07;2,09247963636364E-07;
1979.08;2,13623309090909E-07;
1979.09;2,30585854545455E-07;
1979.10;2,38862218181818E-07;
1979.11;2,57265090909091E-07;
1979.12;3,04809490909091E-07;
1980.01;2,96E-07;
1980.02;3,07272727272727E-07;
1980.03;3,19272727272727E-07;
1980.04;3,48E-07;
1980.05;3,67636363636364E-07;
1980.06;4,00363636363636E-07;
1980.07;3,91272727272727E-07;
1980.08;4,10545454545455E-07;
1980.09;4,25454545454545E-07;
1980.10;4,44E-07;
1980.11;4,82181818181818E-07;
1980.12;5,40727272727273E-07;
1981.01;4,96727272727273E-07;
1981.02;5,18181818181818E-07;
1981.03;5,06909090909091E-07;
1981.04;5,49818181818182E-07;
1981.05;5,75636363636364E-07;
1981.06;6,24727272727273E-07;
1981.07;6,27272727272727E-07;
1981.08;6,55636363636364E-07;
1981.09;6,84E-07;
1981.10;7,65090909090909E-07;
1981.11;8,32363636363636E-07;
1981.12;1,01454545454545E-06;
1982.01;9,50909090909091E-07;
1982.02;9,72E-07;
1982.03;9,49454545454546E-07;
1982.04;1,02436363636364E-06;
1982.05;1,08763636363636E-06;
1982.06;1,16763636363636E-06;
1982.07;1,22072727272727E-06;
1982.08;1,22836363636364E-06;
1982.09;1,28872727272727E-06;
1982.10;1,39272727272727E-06;
1982.11;1,50872727272727E-06;
1982.12;1,68872727272727E-06;
1983.01;1,70254545454545E-06;
1983.02;1,728E-06;
1983.03;1,69309090909091E-06;
1983.04;1,83309090909091E-06;
1983.05;1,89490909090909E-06;
1983.06;2,124E-06;
1983.07;2,15818181818182E-06;
1983.08;2,24436363636364E-06;
1983.09;2,45854545454545E-06;
1983.10;2,68472727272727E-06;
1983.11;2,86618181818182E-06;
1983.12;3,33709090909091E-06;
1984.01;3,31818181818182E-06;
1984.02;3,36763636363636E-06;
1984.03;3,65527272727273E-06;
1984.04;4,18690909090909E-06;
1984.05;4,40945454545455E-06;
1984.06;4,70727272727273E-06;
1984.07;5,152E-06;
1984.08;5,57236363636364E-06;
1984.09;6,328E-06;
1984.10;6,61381818181818E-06;
1984.11;7,71963636363636E-06;
1984.12;1,0072E-05;
1985.01;9,06909090909091E-06;
1985.02;1,02287272727273E-05;
1985.03;1,12705454545455E-05;
1985.04;1,24814545454545E-05;
1985.05;1,35294545454545E-05;
1985.06;1,60967272727273E-05;
1985.07;1,78549090909091E-05;
1985.08;2,03741818181818E-05;
1985.09;2,36414545454545E-05;
1985.10;2,45472727272727E-05;
1985.11;3,05152727272727E-05;
1985.12;4,07185454545454E-05;
1986.01;3,71403636363636E-05;
1986.02;4,23767272727273E-05;
1986.03;7,6368E-05;
1986.04;9,1084E-05;
1986.05;0,000105052363636364;
1986.06;0,000121487272727273;
1986.07;0,000121204;
1986.08;0,000129524727272727;
1986.09;0,000136693090909091;
1986.10;0,000146632727272727;
1986.11;0,000153423636363636;
1986.12;0,000165627636363636;
1987.01;0,000129474545454545;
1987.02;0,000137266909090909;
1987.03;0,000154542181818182;
1987.04;0,000130079636363636;
1987.05;0,000131328727272727;
1987.06;0,000172787636363636;
1987.07;0,000190046909090909;
1987.08;0,000208559636363636;
1987.09;0,000226506909090909;
1987.10;0,000253012;
1987.11;0,000288021454545455;
1987.12;0,000376698181818182;
1988.01;0,000337818181818182;
1988.02;0,000373090909090909;
1988.03;0,000425454545454545;
1988.04;0,000481818181818182;
1988.05;0,000574909090909091;
1988.06;0,000670545454545455;
1988.07;0,000744363636363636;
1988.08;0,000827272727272727;
1988.09;0,00105418181818182;
1988.10;0,00139527272727273;
1988.11;0,00167745454545455;
1988.12;0,00252509090909091;
1989.01;0,003079636364;
1989.02;0,00323345454545455;
1989.03;0,00354509090909091;
1989.04;0,00531781818181818;
1989.05;0,00508545454545455;
1989.06;0,00577163636363636;
1989.07;0,00638436363636364;
1989.08;0,00742254545454545;
1989.09;0,0101261818181818;
1989.10;0,0137894545454545;
1989.11;0,0194334545454545;
1989.12;0,0374763636363636;
1990.01;0,0425116363636364;
1990.02;0,0815549090909091;
1990.03;0,239857090909091;
1990.04;0,325139272727273;
1990.05;0,442269818181818;
1990.06;0,439969818181818;
1990.07;0,439752;
1990.08;0,480515272727273;
1990.09;0,551032727272727;
1990.10;0,552224363636364;
1990.11;0,658500363636364;
1990.12;0,912817090909091;
1991.01;0,7775;
1991.02;1,20145090909091;
1991.03;1,25635963636364;
1991.04;1,27912909090909;
1991.05;1,40849672727273;
1991.06;1,60021709090909;
1991.07;1,59608145454545;
1991.08;1,82133381818182;
1991.09;2,30975272727273;
1991.10;2,17244690909091;
1991.11;2,670996;
1991.12;3,93147672727273;
1992.01;3,73114181818182;
1992.02;5,02425890909091;
1992.03;5,08780581818182;
1992.04;6,44248472727273;
1992.05;7,42801709090909;
1992.06;9,54866727272727;
1992.07;10,880008;
1992.08;14,0198727272727;
1992.09;17,1903345454545;
1992.10;20,2206992727273;
1992.11;28,4654545454545;
1992.12;38,0272727272727;
1993.01;38,18;
1993.02;52,5269090909091;
1993.03;58,9778181818182;
1993.04;82,1556363636364;
1993.05;105,851272727273;
1993.06;124,869818181818;
1993.07;164,452;
1993.08;205,384272727273;
1993.09;269,318909090909;
1993.10;342,973818181818;
1993.11;539,132;
1993.12;847,78;
1994.01;1013,98363636364;
1994.02;1554,49563636364;
1994.03;1927,18690909091;
1994.04;2811,52909090909;
1994.05;4218,52545454545;
1994.06;7466,157;
1994.07;10687,238;
1994.08;12901,778;
1994.09;15844,246;
1994.10;16735,495;
1994.11;17825,475;
1994.12;22772,664;
1995.01;18217,441;
1995.02;19885,525;
1995.03;17082,321;
1995.04;17141,943;
1995.05;16077,908;
1995.06;17621,988;
1995.07;17878,924;
1995.08;17775,62;
1995.09;19068,611;
1995.10;19754,622;
1995.11;21912,091;
1995.12;28492,903;
1996.01;23481,82;
1996.02;23095,259;
1996.03;22985,492;
1996.04;23276,407;
1996.05;22761,723;
1996.06;23513,221;
1996.07;23107,137;
1996.08;23477,144;
1996.09;25143,255;
1996.10;23171,129;
1996.11;24383,24;
1996.12;29807,483;
1997.01;33123,796;
1997.02;36236,904;
1997.03;37448,61;
1997.04;36298,117;
1997.05;36860,743;
1997.06;37841,978;
1997.07;35906,316;
1997.08;37775,7;
1997.09;39116,753;
1997.10;39284,42;
1997.11;40023,882;
1997.12;47362,722;
1998.01;42619,626;
1998.02;41922,152;
1998.03;41922,152;
1998.04;42274,904;
1998.05;42502,086;
1998.06;44060,07;
1998.07;43981,738;
1998.08;44308,331;
1998.09;43933,681;
1998.10;43031,345;
1998.11;46117,494;
1998.12;50707,266;
1999.01;49957,188;
1999.02;47817,257;
1999.03;45497,048;
1999.04;44075,657;
1999.05;44052,226;
1999.06;45939,541;
1999.07;48011,511;
1999.08;47508,989;
1999.09;46988,943;
1999.10;48580,64;
1999.11;51580,026;
1999.12;62744,441;
2000.01;56633,254;
2000.02;54038,049;
2000.03;53255,346;
2000.04;53668,551;
2000.05;52976,1;
2000.06;54696,73;
2000.07;57077,894;
2000.08;56626,345;
2000.09;59451,342;
2000.10;60166,406;
2000.11;63052,8;
2000.12;74352,468;
2001.01;66549,099;
2001.02;68309,887;
2001.03;66032,79;
2001.04;65811,7911;
2001.05;65461,9735;
2001.06;66395,5653;
2001.07;67328,5174;
2001.08;67571,709;
2001.09;68485,78;
2001.10;67524,432;
2001.11;70243,399;
2001.12;85319,761;
2002.01;76291,521;
2002.02;75679,717;
2002.03;74996,003;
2002.04;76628,516;
2002.05;75674,168;
2002.06;81748,036;
2002.07;85044,651;
2002.08;87907,547;
2002.09;90734,433;
2002.10;91473,169;
2002.11;94597,962;
2002.12;110334,243;
2003.01;94977,783;
2003.02;93602,937;
2003.03;89822,584;
2003.04;87410,599;
2003.05;86231,763;
2003.06;88466,315;
2003.07;87050,128;
2003.08;87318,737;
2003.09;88450,654;
2003.10;88533,279;
2003.11;95230,124;
2003.12;112765,87;
2004.01;101206,857;
2004.02;102857,652;
2004.03;101282,219;
2004.04;101821,601;
2004.05;103074,482;
2004.06;104182,65;
2004.07;104856,804;
2004.08;107417,168;
2004.09;111720,476;
2004.10;111602,434;
2004.11;115140,42;
2004.12;129659,697;
2005.01;120494,681;
2005.02;119527,456;
2005.03;118560,874;
2005.04;115498,041;
2005.05;117556,869;
2005.06;118793,487;
2005.07;118562,751;
2005.08;118761,803;
2005.09;123969,884;
2005.10;121587,677;
2005.11;128417,217;
2005.12;146745,131;
2006.01;131864,737;
2006.02;133094,132;
2006.03;130778,017;
2006.04;129541,055;
2006.05;132963,024;
2006.06;134245,964;
2006.07;135771,48;
2006.08;138653,095;
2006.09;145599,225;
2006.10;147551,34;
2006.11;154440,846;
2006.12;176889,613;
2007.01;158186,929;
2007.02;156332,282;
2007.03;158398,773;
2007.04;159310,973;
2007.05;160825,317;
2007.06;167144,535;
2007.07;169869,344;
2007.08;173480,653;
2007.09;178379,774;
2007.10;181580,85;
2007.11;191309,446;
2007.12;235075,119;
2008.01;193738,675;
2008.02;187697,652;
2008.03;187702,397;
2008.04;190959,053;
2008.05;187522,192;
2008.06;190551,872;
2008.07;189986,585;
2008.08;190995,678;
2008.09;199382,244;
2008.10;193650,031;
2008.11;201858,589;
2008.12;227166,817;
2009.01;199815,307;
2009.02;198079,554;
2009.03;196166,112;
2009.04;198350,552;
2009.05;199654,739;
2009.06;206491,951;
2009.07;202506,493;
2009.08;206840,405;
2009.09;214465,555;
2009.10;214528,687;
2009.11;225273,361;
2009.12;254714,119;
2010.01;231954,83;
2010.02;229539,682;
2010.03;234321,66;
2010.04;233688,103;
2010.05;236231,009;
2010.06;240063,569;
2010.07;241185,103;
2010.08;248096,06;
2010.09;254630,048;
2010.10;255602,306;
2010.11;265053,833;
2010.12;287739,157;
2011.01;263311,792;
2011.02;260344,752;
2011.03;258418,003;
2011.04;254881,493;
2011.05;256145,571;
2011.06;260499,957;
2011.07;259274,878;
2011.08;255050,276;
2011.09;262523,711;
2011.10;260305,09;
2011.11;268690,702;
2011.12;292168,445;
2012.01;266624,937;
2012.02;263700,653;
2012.03;265172,466;
2012.04;266494,252;
2012.05;267179,533;
2012.06;273604,994;
2012.07;273823,647;
2012.08;275496,62;
2012.09;283624,015;
2012.10;281894,017;
2012.11;296879,634;
2012.12;333485,628;
2013.01;295955,77;
2013.02;295465,665;
2013.03;302533,983;
