Data,Taxa de câmbio real bilateral - IPA-DI - Brasil/Estados Unidos - índice (média 2010 = 100) - - - Instituto de Pesquisa Econômica Aplicada - GAC12_TCEREUA12,
1980.01,304.697009616961,
1980.02,308.489431902691,
1980.03,302.312374284687,
1980.04,295.47798348923,
1980.05,285.659441294826,
1980.06,278.391620685165,
1980.07,265.953903359679,
1980.08,260.657058974257,
1980.09,257.361410602359,
1980.10,247.208068445649,
1980.11,238.765751950793,
1980.12,238.023318751939,
1981.01,240.493370508397,
1981.02,234.469708336424,
1981.03,231.350158256701,
1981.04,235.660506106072,
1981.05,235.070297975033,
1981.06,238.07297818309,
1981.07,242.503110787474,
1981.08,244.457411916788,
1981.09,244.755660451743,
1981.10,247.008449017895,
1981.11,246.307529525634,
1981.12,252.229729072221,
1982.01,251.592217330333,
1982.02,247.945143618682,
1982.03,243.434486800581,
1982.04,242.285722292301,
1982.05,241.813703005986,
1982.06,233.439405887218,
1982.07,234.150036857294,
1982.08,238.069328102704,
1982.09,245.39461980778,
1982.10,249.309510732941,
1982.11,252.936626976424,
1982.12,254.966526652457,
1983.01,248.310748225455,
1983.02,282.838049821432,
1983.03,323.886209552285,
1983.04,319.057519065638,
1983.05,327.422973495551,
1983.06,315.000740027991,
1983.07,303.987384198432,
1983.08,312.973203322976,
1983.09,298.792230956664,
1983.10,290.124934937749,
1983.11,295.600696980685,
1983.12,299.53348088201,
1984.01,295.174221530308,
1984.02,292.912546110087,
1984.03,300.844094233158,
1984.04,300.193017314137,
1984.05,300.499786664118,
1984.06,299.743072274564,
1984.07,299.40302712703,
1984.08,299.951974015208,
1984.09,296.821581710064,
1984.10,290.807085792355,
1984.11,294.502862010333,
1984.12,291.851173684826,
1985.01,288.719156665112,
1985.02,295.526270637383,
1985.03,287.029232527824,
1985.04,304.089889781021,
1985.05,317.60339752879,
1985.06,324.625703932222,
1985.07,326.448099971843,
1985.08,306.115421668592,
1985.09,310.238652921143,
1985.10,313.172039675711,
1985.11,298.2747289054,
1985.12,295.504087019754,
1986.01,282.294059815071,
1986.02,276.000293500876,
1986.03,277.592257815111,
1986.04,279.753318850991,
1986.05,280.623330232011,
1986.06,279.306248950043,
1986.07,276.303302065066,
1986.08,272.384061456967,
1986.09,270.849029433223,
1986.10,271.084945022676,
1986.11,268.299161126066,
1986.12,256.727787639306,
1987.01,252.747035486226,
1987.02,265.92193723512,
1987.03,270.592177924168,
1987.04,254.166851597585,
1987.05,254.204030239507,
1987.06,258.965763089755,
1987.07,269.791368730249,
