Data,Taxa de juros - Over / Selic - (% a.a.) - Banco Central do Brasil- Sistema Gerenciador de Séries Temporais (Bacen Outras/SGS) - GM366_TJOVER366,
1986.06,,
1986.07,23.5059734780254,
1986.08,35.5493993341078,
1986.09,39.3861533719871,
1986.10,23.6412927260156,
1986.11,34.3121613049114,
1986.12,83.9729633641589,
1987.01,250.024194238264,
1987.02,854.44300915362,
1987.03,314.700299013828,
1987.04,560.689870259337,
1987.05,1502.23479615626,
1987.06,630.277509696701,
1987.07,154.668703441888,
1987.08,154.234339963599,
1987.09,151.433539603547,
1987.10,195.516144110206,
1987.11,362.132267833277,
1987.12,366.042522539421,
1988.01,606.322334781434,
1988.02,833.979870684591,
1988.03,480.07565855065,
1988.04,1054.30723572426,
1988.05,762.509117755799,
1988.06,720.742231359002,
1988.07,1312.79887748762,
1988.08,835.068257010399,
1988.09,1539.20340461941,
1988.10,3076.4290385448,
1988.11,1909.29303952841,
1988.12,1962.11222971477,
1989.01,1253.73009414761,
1989.02,1034.66476000582,
1989.03,829.216516611058,
1989.04,324.539225507855,
1989.05,266.367957059439,
1989.06,1486.0105841219,
1989.07,3005.23320730796,
1989.08,2687.60587392809,
1989.09,6002.00904392627,
1989.10,10676.5351420962,
1989.11,14365.3153046447,
1989.12,51659.4557099482,
1990.01,36957.1963272636,
1990.02,438898.820052982,
1990.03,6254.28731402628,
1990.04,73.207424222271,
1990.05,88.5609480236192,
1990.06,187.108303960345,
1990.07,339.349251320303,
1990.08,230.470962491676,
1990.09,554.260052642317,
1990.10,524.382110243389,
1990.11,877.011195964793,
1990.12,1237.93795646176,
1991.01,789.537291469749,
1991.02,166.935870490878,
1991.03,213.316276055412,
1991.04,187.761112129269,
1991.05,198.989842933418,
1991.06,244.782727207826,
1991.07,259.477721589059,
1991.08,434.018020638882,
1991.09,772.451901018649,
1991.10,1152.40104415111,
1991.11,3343.47457292664,
1991.12,2495.21508816273,
1992.01,1757.40857655,
1992.02,2316.06299280039,
1992.03,1903.47892695648,
1992.04,1619.82103980248,
1992.05,1257.13867449045,
1992.06,1257.7435799468,
1992.07,1181.44847988739,
1992.08,1447.91176278881,
1992.09,1773.23989282863,
1992.10,1866.65467477747,
1992.11,1815.17124533212,
1992.12,1300.8493235596,
1993.01,2259.55670742778,
1993.02,3397.10552998646,
1993.03,1441.33270041867,
1993.04,3326.21676868205,
1993.05,2430.27130513508,
1993.06,2676.48781583517,
1993.07,2461.36593557763,
1993.08,2916.18998003081,
1993.09,4359.95495526015,
1993.10,5902.31666957867,
1993.11,5892.15431000596,
1993.12,4010.31666336434,
1994.01,7065.0122233422,
1994.02,13442.0247749498,
1994.03,7784.34070297994,
1994.04,15710.858306467,
1994.05,8784.02120147366,
1994.06,13532.640307847,
1994.07,131.026718511488,
1994.08,56.4578565254894,
1994.09,57.0592981230301,
1994.10,60.2992076961914,
1994.11,65.3523949484092,
1994.12,53.2496456564441,
1995.01,46.2477735963273,
1995.02,56.5398321024338,
1995.03,57.9740860273155,
1995.04,85.4664490033238,
1995.05,61.0399449808196,
1995.06,60.838051657058,
1995.07,60.5265839901653,
1995.08,51.106131221192,
1995.09,50.9906300400218,
1995.10,44.1049590814617,
1995.11,42.9295281661717,
1995.12,41.2180157665134,
1996.01,33.8226137687576,
1996.02,36.100895438976,
1996.03,30.1540107404792,
1996.04,29.4188863563621,
1996.05,25.6347098413283,
1996.06,29.6501740480509,
1996.07,23.2776069227176,
1996.08,25.006947243674,
1996.09,25.3943707468687,
1996.10,23.4791295204502,
1996.11,25.2657675206375,
1996.12,23.9300715020887,
1997.01,21.7301964564775,
1997.02,26.1318150635103,
1997.03,24.0994250715325,
1997.04,21.8340727391608,
1997.05,21.901533232222,
1997.06,21.0774166920235,
1997.07,19.0407609793648,
1997.08,20.7756461254232,
1997.09,19.8025107635417,
1997.10,19.9298804474803,
1997.11,45.8976403386729,
1997.12,39.8612717819538,
1998.01,37.1896390991236,
1998.02,34.3179945849818,
1998.03,28.3190641823637,
1998.04,25.1636705158908,
1998.05,22.5965307354035,
1998.06,21.0175264673521,
1998.07,20.3336063481377,
1998.08,19.2274886464179,
1998.09,34.2923073495909,
1998.10,41.5972742469798,
1998.11,38.7302841993757,
1998.12,31.2371618646372,
1999.01,31.1900317694652,
1999.02,38.974436354513,
1999.03,43.2453106861905,
1999.04,36.1237594863629,
1999.05,27.1053950224658,
1999.06,22.0140158843439,
1999.07,20.7370861957888,
1999.08,19.5145453508206,
1999.09,19.3802722971409,
1999.10,18.9074887364306,
1999.11,18.9459585640112,
1999.12,18.9908644166317,
2000.01,18.9375952764573,
2000.02,18.8695237503871,
2000.03,18.8466083707424,
2000.04,18.6184119412451,
2000.05,18.5127111253975,
2000.06,18.0405769844804,
2000.07,16.8481677014625,
2000.08,16.5225868567875,
2000.09,16.5604783016697,
2000.10,16.596190252516,
2000.11,16.5064753985699,
2000.12,16.1917491017275,
2001.01,15.4883140321703,
2001.02,15.1999767530598,
2001.03,15.3941086930628,
2001.04,16.0212676566178,
2001.05,16.4284193328648,
2001.06,17.2836308251496,
2001.07,18.5678049675835,
2001.08,18.9956405939016,
2001.09,19.0642098051552,
2001.10,19.0631798185468,
2001.11,19.0484999464483,
2001.12,19.05,
2002.01,19.05,
2002.02,18.9660519095552,
2002.03,18.7219411053805,
2002.04,18.3749810206075,
2002.05,18.3656970335984,
2002.06,18.0992464982412,
2002.07,18.1697141169693,
2002.08,17.8395431604087,
2002.09,17.8942852064601,
2002.10,19.586384937055,
2002.11,21.2490633966461,
