Data,IPCA - núcleo médias aparadas com suavização - taxa de variação - (% a.m.) - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_IPCA2012,
2021.11,0.72,
2021.12,0.89,
2022.01,1.06,
2022.02,0.94,
2022.03,1.04,
2022.04,1.01,
2022.05,0.98,
2022.06,0.97,
2022.07,0.62,
2022.08,0.64,
2022.09,0.39,
2022.10,0.46,
2022.11,0.38,
2022.12,0.49,
2023.01,0.49,
2023.02,0.48,
2023.03,0.36,
2023.04,0.5,
2023.05,0.49,
2023.06,0.11,
2023.07,0.22,
2023.08,0.33,
2023.09,0.3,
2023.10,0.31,
2023.11,0.37,
2023.12,0.47,
2024.01,0.51,
2024.02,0.42,
2024.03,0.24,
