observation_date;CPALTT01USM657N
1973-02-01;160,6741573
1973-03-01;162,1722846
1973-04-01;163,2958801
1973-05-01;164,4194757
1973-06-01;165,5430712
1973-07-01;165,917603
1973-08-01;168,9138577
1973-09-01;169,2883895
1973-10-01;170,7865169
1973-11-01;171,9101124
1973-12-01;173,0337079
1974-01-01;174,5318352
1974-02-01;176,7790262
1974-03-01;179,0262172
1974-04-01;179,7752809
1974-05-01;182,0224719
1974-06-01;183,5205993
1974-07-01;185,0187266
1974-08-01;187,2659176
1974-09-01;189,5131086
1974-10-01;191,3857678
1974-11-01;192,8838951
1974-12-01;194,3820225
1975-01-01;195,1310861
1975-02-01;196,6292135
1975-03-01;197,3782772
1975-04-01;198,1273408
1975-05-01;199,2509363
1975-06-01;200,7490637
1975-07-01;202,9962547
1975-08-01;203,3707865
1975-09-01;204,494382
1975-10-01;205,6179775
1975-11-01;207,1161049
1975-12-01;207,8651685
1976-01-01;208,2397004
1976-02-01;208,988764
1976-03-01;209,3632959
1976-04-01;210,1123596
1976-05-01;211,6104869
1976-06-01;212,7340824
1976-07-01;213,8576779
1976-08-01;214,9812734
1976-09-01;215,7303371
1976-10-01;216,8539326
1976-11-01;217,2284644
1976-12-01;217,9775281
1977-01-01;219,1011236
1977-02-01;221,3483146
1977-03-01;222,8464419
1977-04-01;224,7191011
1977-05-01;225,8426966
1977-06-01;227,340824
1977-07-01;228,4644195
1977-08-01;229,2134831
1977-09-01;229,9625468
1977-10-01;230,7116105
1977-11-01;231,835206
1977-12-01;232,5842697
1978-01-01;234,082397
1978-02-01;235,5805243
1978-03-01;237,4531835
1978-04-01;239,3258427
1978-05-01;241,5730337
1978-06-01;244,1947566
1978-07-01;246,0674157
1978-08-01;247,1910112
1978-09-01;249,0636704
1978-10-01;251,3108614
1978-11-01;252,4344569
1978-12-01;253,5580524
1979-01-01;255,8052434
1979-02-01;258,8014981
1979-03-01;261,423221
1979-04-01;264,4194757
1979-05-01;267,7902622
1979-06-01;270,7865169
1979-07-01;273,7827715
1979-08-01;276,4044944
1979-09-01;279,4007491
1979-10-01;281,6479401
1979-11-01;284,2696629
1979-12-01;287,2659176
1980-01-01;291,3857678
1980-02-01;295,505618
1980-03-01;300
1980-04-01;303,3707865
1980-05-01;306,3670412
1980-06-01;309,7378277
1980-07-01;309,7378277
1980-08-01;311,9850187
1980-09-01;314,6067416
1980-10-01;317,6029963
1980-11-01;320,2247191
1980-12-01;323,2209738
1981-01-01;325,8426966
1981-02-01;329,2134831
1981-03-01;331,4606742
1981-04-01;333,7078652
1981-05-01;336,329588
1981-06-01;339,3258427
1981-07-01;343,071161
1981-08-01;345,6928839
1981-09-01;349,0636704
1981-10-01;349,8127341
1981-11-01;350,9363296
1981-12-01;352,0599251
1982-01-01;353,1835206
1982-02-01;354,3071161
1982-03-01;353,9325843
1982-04-01;355,4307116
1982-05-01;358,8014981
1982-06-01;363,2958801
1982-07-01;365,1685393
1982-08-01;365,917603
1982-09-01;366,6666667
1982-10-01;367,7902622
1982-11-01;367,0411985
1982-12-01;365,5430712
1983-01-01;366,2921348
1983-02-01;366,6666667
1983-03-01;366,6666667
1983-04-01;369,2883895
1983-05-01;371,5355805
1983-06-01;372,659176
1983-07-01;374,1573034
1983-08-01;375,2808989
1983-09-01;377,1535581
1983-10-01;378,2771536
1983-11-01;379,0262172
1983-12-01;379,4007491
1984-01-01;381,6479401
1984-02-01;383,5205993
1984-03-01;384,2696629
1984-04-01;386,1423221
1984-05-01;387,2659176
1984-06-01;388,3895131
1984-07-01;389,8876404
1984-08-01;391,3857678
1984-09-01;393,258427
1984-10-01;394,3820225
1984-11-01;394,3820225
1984-12-01;394,3820225
1985-01-01;395,1310861
1985-02-01;397,0037453
1985-03-01;398,5018727
1985-04-01;400,3745318
1985-05-01;401,8726592
1985-06-01;402,9962547
1985-07-01;403,7453184
1985-08-01;404,494382
1985-09-01;405,6179775
1985-10-01;407,1161049
1985-11-01;408,2397004
1985-12-01;409,3632959
1986-01-01;410,4868914
1986-02-01;409,3632959
1986-03-01;407,4906367
1986-04-01;406,741573
1986-05-01;407,8651685
1986-06-01;410,1123596
1986-07-01;410,1123596
1986-08-01;410,8614232
1986-09-01;412,7340824
1986-10-01;413,1086142
1986-11-01;413,4831461
1986-12-01;413,8576779
1987-01-01;416,4794007
1987-02-01;417,9775281
1987-03-01;419,8501873
1987-04-01;422,0973783
1987-05-01;423,5955056
1987-06-01;425,093633
1987-07-01;426,2172285
1987-08-01;428,4644195
1987-09-01;430,7116105
1987-10-01;431,835206
1987-11-01;432,2097378
1987-12-01;432,2097378
1988-01-01;433,3333333
1988-02-01;434,4569288
1988-03-01;436,329588
1988-04-01;438,576779
1988-05-01;440,0749064
1988-06-01;441,9475655
1988-07-01;443,8202247
1988-08-01;445,6928839
1988-09-01;448,6891386
1988-10-01;450,1872659
1988-11-01;450,5617978
1988-12-01;451,3108614
1989-01-01;453,5580524
1989-02-01;455,4307116
1989-03-01;458,0524345
1989-04-01;461,0486891
1989-05-01;463,670412
1989-06-01;464,7940075
1989-07-01;465,917603
1989-08-01;466,6666667
1989-09-01;468,164794
1989-10-01;470,411985
1989-11-01;471,5355805
1989-12-01;472,2846442
1990-01-01;477,1535581
1990-02-01;479,4007491
1990-03-01;482,0224719
1990-04-01;482,7715356
1990-05-01;483,8951311
1990-06-01;486,5168539
1990-07-01;488,3895131
1990-08-01;492,8838951
1990-09-01;497,0037453
1990-10-01;500
1990-11-01;501,1235955
1990-12-01;501,1235955
1991-01-01;504,1198502
1991-02-01;504,8689139
1991-03-01;505,6179775
1991-04-01;506,3670412
1991-05-01;507,8651685
1991-06-01;509,3632959
1991-07-01;510,1123596
1991-08-01;511,6104869
1991-09-01;513,8576779
1991-10-01;514,6067416
1991-11-01;516,1048689
1991-12-01;516,4794007
1992-01-01;517,2284644
1992-02-01;519,1011236
1992-03-01;521,7228464
1992-04-01;522,4719101
1992-05-01;523,2209738
1992-06-01;525,093633
1992-07-01;526,2172285
1992-08-01;527,7153558
1992-09-01;529,2134831
1992-10-01;531,0861423
1992-11-01;531,835206
1992-12-01;531,4606742
1993-01-01;534,082397
1993-02-01;535,9550562
1993-03-01;537,8277154
1993-04-01;539,3258427
1993-05-01;540,0749064
1993-06-01;540,82397
1993-07-01;540,82397
1993-08-01;542,3220974
1993-09-01;543,4456929
1993-10-01;545,6928839
1993-11-01;546,0674157
1993-12-01;546,0674157
1994-01-01;547,5655431
1994-02-01;549,4382022
1994-03-01;551,3108614
1994-04-01;552,0599251
1994-05-01;552,4344569
1994-06-01;554,3071161
1994-07-01;555,8052434
1994-08-01;558,0524345
1994-09-01;559,5505618
1994-10-01;559,9250936
1994-11-01;560,6741573
1994-12-01;560,6741573
1995-01-01;562,9213483
1995-02-01;565,1685393
1995-03-01;567,0411985
1995-04-01;568,9138577
1995-05-01;570,0374532
1995-06-01;571,1610487
1995-07-01;571,1610487
1995-08-01;572,659176
1995-09-01;573,7827715
1995-10-01;575,6554307
1995-11-01;575,2808989
1995-12-01;574,906367
1996-01-01;578,2771536
1996-02-01;580,1498127
1996-03-01;583,1460674
1996-04-01;585,3932584
1996-05-01;586,5168539
1996-06-01;586,8913858
1996-07-01;588,0149813
1996-08-01;589,1385768
1996-09-01;591,011236
1996-10-01;592,8838951
1996-11-01;594,0074906
1996-12-01;594,0074906
1997-01-01;595,8801498
1997-02-01;597,752809
1997-03-01;599,2509363
1997-04-01;600
1997-05-01;599,6254682
1997-06-01;600,3745318
1997-07-01;601,1235955
1997-08-01;602,247191
1997-09-01;603,7453184
1997-10-01;605,2434457
1997-11-01;604,8689139
1997-12-01;604,1198502
1998-01-01;605,2434457
1998-02-01;606,3670412
1998-03-01;607,4906367
1998-04-01;608,6142322
1998-05-01;609,7378277
1998-06-01;610,4868914
1998-07-01;611,2359551
1998-08-01;611,9850187
1998-09-01;612,7340824
1998-10-01;614,2322097
1998-11-01;614,2322097
1998-12-01;613,8576779
1999-01-01;615,3558052
1999-02-01;616,1048689
1999-03-01;617,9775281
1999-04-01;622,4719101
1999-05-01;622,4719101
1999-06-01;622,4719101
1999-07-01;624,3445693
1999-08-01;625,8426966
1999-09-01;628,8389513
1999-10-01;629,9625468
1999-11-01;630,3370787
1999-12-01;630,3370787
2000-01-01;632,2097378
2000-02-01;635,9550562
2000-03-01;641,1985019
2000-04-01;641,5730337
2000-05-01;642,3220974
2000-06-01;645,6928839
2000-07-01;647,1910112
2000-08-01;647,1910112
2000-09-01;650,5617978
2000-10-01;651,6853933
2000-11-01;652,0599251
2000-12-01;651,6853933
2001-01-01;655,8052434
2001-02-01;658,4269663
2001-03-01;659,9250936
2001-04-01;662,5468165
2001-05-01;665,5430712
2001-06-01;666,6666667
2001-07-01;664,7940075
2001-08-01;664,7940075
