Data,Expectativa média de Inflação - IPCA - taxa anualizada para os próximos seis meses - (% a.a.) - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_IPCAEXP612,
2000.05,7.61314842829517,
2000.06,8.10603079841254,
2000.07,,
2000.08,5.4514429587879,
2000.09,,
2000.10,,
2000.11,,
2000.12,,
2001.01,4.34287703232401,
2001.02,4.53003495185063,
2001.03,4.61343777869068,
2001.04,4.78043726612145,
2001.05,,
2001.06,,
2001.07,,
2001.08,,
2001.09,,
2001.10,,
2001.11,4.59387716770703,
2001.12,4.19834143054707,
2002.01,4.96800202273633,
2002.02,5.38710674192222,
2002.03,5.59733818870092,
2002.04,5.05211182383287,
2002.05,4.90566961729555,
2002.06,5.03073957188951,
2002.07,4.61451234967565,
2002.08,4.71901644365609,
2002.09,5.49354129641388,
2002.10,8.62249864161459,
2002.11,10.3378390473625,
2002.12,11.5908485824781,
2003.01,11.3464097353069,
2003.02,11.2366051918805,
2003.03,10.5981588629994,
2003.04,9.4835197480295,
2003.05,9.13750572107468,
2003.06,8.16830140055984,
2003.07,6.88808181015268,
2003.08,6.6970471633728,
2003.09,6.29435508842413,
2003.10,6.10416315663498,
2003.11,5.6194429654868,
2003.12,5.68249622220003,
2004.01,6.04001034886992,
2004.02,5.59806146650581,
2004.03,5.66116066666051,
2004.04,5.85070746900367,
2004.05,6.42079849459742,
2004.06,6.8654782792382,
2004.07,6.48500163971162,
2004.08,6.56976373338694,
2004.09,6.35780485294919,
2004.10,6.35760690465446,
2004.11,6.01938722008741,
2004.12,5.7665084997981,
2005.01,5.95587713229799,
2005.02,5.74551406681914,
2005.03,5.70337384543411,
2005.04,5.59808012129401,
2005.05,5.07389085803276,
2005.06,5.22078043243912,
2005.07,5.11608833485389,
2005.08,5.15792758316347,
2005.09,5.01152541520513,
2005.10,4.8651918409826,
2005.11,4.59390203836232,
2005.12,4.44806126297725,
2006.01,4.44793275586859,
2006.02,4.13634754634429,
2006.03,3.82534340717218,
2006.04,3.7218729238933,
2006.05,3.991022754567,
2006.06,4.53134696082007,
2006.07,4.90678343210433,
2006.08,4.86518767434121,
2006.09,4.48970928242456,
2006.10,4.38566386914525,
2006.11,4.44794717472698,
2006.12,4.01167101406241,
2007.01,3.74232138103616,
2007.02,3.24725715313188,
2007.03,3.10319155864809,
2007.04,2.81555265055138,
2007.05,2.89751186883711,
2007.06,3.18541917839918,
2007.07,3.59780785813275,
2007.08,4.0117598800357,
2007.09,4.17778437637901,
2007.10,4.17778437637901,
2007.11,4.26075927589118,
2007.12,4.3019495782296,
2008.01,4.13585971391228,
2008.02,3.70128646261378,
2008.03,3.74266353493071,
2008.04,3.97041386556884,
2008.05,4.55225606852816,
2008.06,5.32550999655543,
2008.07,5.55650681068263,
2008.08,5.5984104103828,
2008.09,5.61952869471838,
2008.10,6.29434868870173,
2008.11,6.0618065593562,
2008.12,5.09498943391893,
2009.01,4.73972202163977,
2009.02,4.07409915042929,
2009.03,3.74259960813419,
2009.04,3.61858387167131,
2009.05,3.53596371869311,
2009.06,3.84609280233346,
2009.07,4.03246591786097,
2009.08,4.40621828000614,
2009.09,4.61463886744509,
2009.10,4.82325690826202,
2009.11,4.82315503317403,
2009.12,4.73948718532262,
2010.01,4.53083919485233,
2010.02,3.94970161113388,
2010.03,3.94964999615337,
2010.04,3.97038703179777,
2010.05,4.1362999759581,
2010.06,4.55202356367905,
2010.07,5.28342230638781,
2010.08,5.89308412387866,
2010.09,6.27324720704545,
2010.10,6.1462570854532,
2010.11,6.27282224771277,
2010.12,5.97679186583522,
2011.01,5.63923602327843,
2011.02,4.71876917095371,
2011.03,4.57270255450197,
2011.04,4.17764161093028,
2011.05,3.90722175986404,
2011.06,4.67635818587955,
2011.07,5.64005018746472,
2011.08,6.50576583279736,
2011.09,6.93044896180985,
2011.10,6.82402417326833,
2011.11,6.80307505545343,
2011.12,6.42139376596678,
2012.01,5.09440757434219,
2012.02,4.51007059766255,
2012.03,4.44759265829062,
2012.04,4.36441082690373,
2012.05,4.42645772924208,
2012.06,4.94773741841263,
2012.07,5.89277141402564,
2012.08,6.5484387476314,
2012.09,6.59092420767557,
2012.10,6.29433825851906,
2012.11,6.10399945384112,
2012.12,5.61857502796677,
2013.01,4.88583476289075,
2013.02,4.69792864469825,
2013.03,4.28168268464066,
2013.04,4.3439164652983,
2013.05,4.61431709495324,
2013.06,5.19914919529514,
2013.07,6.42055487141913,
2013.08,7.3353467570918,
2013.09,7.6986912170032,
2013.10,7.67720443454232,
2013.11,7.24958780714511,
2013.12,6.39921374257992,
2014.01,5.61892807500004,
2014.02,5.22026093374062,
2014.03,4.90634886377816,
2014.04,4.5727064710428,
2014.05,4.78097086865639,
2014.06,5.34551666387684,
2014.07,6.39877549926831,
2014.08,7.4413930091795,
2014.09,7.82693118869442,
2014.10,8.04149749659631,
2014.11,7.99802255969488,
2014.12,7.48230966544512,
2015.01,6.50248221667709,
2015.02,5.78468309261682,
2015.03,4.96872443226462,
2015.04,4.71853841902155,
2015.05,5.03202217033971,
2015.06,5.59809863060452,
2015.07,6.1244912489014,
2015.08,6.95138875213737,
2015.09,7.67718327744007,
2015.10,8.32098516726598,
2015.11,8.6649635984029,
2015.12,7.76122903736847,
2016.01,6.90758720272253,
2016.02,5.59787288574238,
2016.03,5.19932692531999,
2016.04,4.80210854672589,
2016.05,4.73935007448065,
2016.06,5.5768532466967,
2016.07,6.06090356712736,
2016.08,6.48429346154933,
2016.09,6.48447476065976,
